,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points_x,transfers_in_x,transfers_in_event,transfers_out_x,transfers_out_event,value_form,value_season,web_name,region,minutes_x,goals_scored_x,assists_x,clean_sheets_x,goals_conceded_x,own_goals_x,penalties_saved_x,penalties_missed_x,yellow_cards_x,red_cards_x,saves_x,bonus_x,bps_x,influence_x,creativity_x,threat_x,ict_index_x,starts_x,expected_goals_x,expected_assists_x,expected_goal_involvements_x,expected_goals_conceded_x,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,team_name,team_id,plural_name_short,element,fixture,opponent_team,total_points_y,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes_y,goals_scored_y,assists_y,clean_sheets_y,goals_conceded_y,own_goals_y,penalties_saved_y,penalties_missed_y,yellow_cards_y,red_cards_y,saves_y,bonus_y,bps_y,influence_y,creativity_y,threat_y,ict_index_y,starts_y,expected_goals_y,expected_assists_y,expected_goal_involvements_y,expected_goals_conceded_y,value,transfers_balance,selected,transfers_in_y,transfers_out_y
10,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,3,103,6,2,False,2024-11-10T16:30:00Z,1,1,11,False,90,0,0,0,1,0,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,1,0.00,0.23,0.23,1.28,62,-93428,2339528,39875,133303
11,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,3,111,16,6,True,2024-11-23T15:00:00Z,3,0,12,False,90,0,0,1,0,0,0,0,0,0,0,0,24,11.2,2.8,4.0,1.8,1,0.07,0.02,0.09,0.33,61,153769,2523518,224699,70930
12,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,3,129,19,9,False,2024-11-30T17:30:00Z,2,5,13,False,45,1,1,0,2,0,0,0,0,0,0,0,20,42.2,0.7,35.0,7.8,1,0.20,0.00,0.20,0.70,62,117627,2647421,193071,75444
13,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,3,131,14,0,True,2024-12-04T20:15:00Z,2,0,14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,62,139667,2790105,197417,57750
14,75.0,75.0,226597,0,0,2,-2,2,2,3.6,3.6,0,Gabriel,3.8,3,True,Muscle injury - 75% chance of playing,2024-11-27T10:30:06.325759Z,62,226597.jpg,4.6,dos Santos Magalhães,23.5,False,,d,1,3,60,2873701,28887,1864316,133715,0.6,9.7,Gabriel,30.0,1088,3,1,4,13,0,0,0,1,0,0,4,210,313.4,68.2,215.0,59.7,13,1.76,0.5,2.26,12.5,46,14,216,55,58,2,85,14,,,,,,,0.15,0.0,0.04,0.19,1.03,1.08,66,3,76,17,31,4,13,5,1.08,0.33,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,3,145,9,0,False,2024-12-08T14:00:00Z,1,1,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,62,-121694,2657917,79219,200913
15,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,6,2,20,1,True,2024-08-17T14:00:00Z,2,0,1,False,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8.0,0.8,0,0.02,0.01,0.03,0.15,55,0,73714,0,0
16,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,6,11,2,6,False,2024-08-24T16:30:00Z,0,2,2,False,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,1,0.00,0.01,0.01,1.12,55,-7683,77673,4299,11982
17,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,6,21,5,1,True,2024-08-31T11:30:00Z,1,1,3,False,79,0,0,0,1,0,0,0,1,0,0,0,3,12.8,10.6,4.0,2.7,1,0.00,0.02,0.02,1.55,55,14520,102931,28883,14363
18,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,6,39,18,5,False,2024-09-15T13:00:00Z,0,1,4,False,90,0,0,1,0,0,0,0,1,0,0,0,20,13.4,1.1,7.0,2.2,1,0.05,0.01,0.06,0.74,55,-76,106693,18538,18614
19,100.0,100.0,445122,0,0,1,-1,1,2,6.8,6.8,2,Jurriën,5.8,6,False,,2024-10-04T13:30:05.569185Z,56,445122.jpg,3.6,Timber,5.7,False,,a,1,3,47,752863,73149,259258,8223,1.0,8.4,J.Timber,152.0,1040,1,1,4,10,0,0,0,3,0,0,2,167,178.0,168.8,139.0,48.3,12,0.67,0.46,1.13,10.05,170,67,101,21,103,9,128,33,,,,,,,0.06,0.0,0.04,0.1,0.87,0.87,102,11,16,5,70,14,68,24,1.04,0.35,5,1350,1375,1360,1360,1340,1390,Arsenal,1,DEF,6,47,13,2,False,2024-09-22T15:30:00Z,2,2,5,False,90,0,0,0,1,0,0,0,0,0,0,0,3,12.0,0.0,0.0,1.2,1,0.00,0.00,0.00,1.68,55,13706,124508,23432,9726
